Conjunto,Alicuota,Coeficiente
Río Negro AHORA 12 Monotributista,0.033,1.647292416861346
Río Negro AHORA 18 Monotributista,0.033,2.0316972582481525
Río Negro AHORA 24 Monotributista,0.033,2.456387831615894
Salta 1 CUOTA Monotributista,0.033,1
Salta AHORA 03 Monotributista,0.033,1.138087387990456
Salta AHORA 06 Monotributista,0.033,1.28415205529682
Salta AHORA 12 Monotributista,0.033,1.647292416861346
Salta AHORA 18 Monotributista,0.033,2.0316972582481525
Salta AHORA 24 Monotributista,0.033,2.456387831615894
San Juan 1 CUOTA Monotributista,0.03,1
San Juan AHORA 03 Monotributista,0.03,1.137587367611199
San Juan AHORA 06 Monotributista,0.03,1.282990114675534
San Juan AHORA 12 Monotributista,0.03,1.6440533392906411
San Juan AHORA 18 Monotributista,0.03,2.0251612494447104
San Juan AHORA 24 Monotributista,0.03,2.4448734532310064
San Luis 1 CUOTA Monotributista,0.023,1
San Luis AHORA 03 Monotributista,0.023,1.136434669887132
San Luis AHORA 06 Monotributista,0.023,1.2803160121230357
San Luis AHORA 12 Monotributista,0.023,1.6366289921246915
San Luis AHORA 18 Monotributista,0.023,2.010261053669893
San Luis AHORA 24 Monotributista,0.023,2.4188121754801606
Santa Cruz 1 CUOTA Monotributista,0.03,1
Santa Cruz AHORA 03 Monotributista,0.03,1.137587367611199
Santa Cruz AHORA 06 Monotributista,0.03,1.282990114675534
Santa Cruz AHORA 12 Monotributista,0.03,1.6440533392906411
Santa Cruz AHORA 18 Monotributista,0.03,2.0251612494447104
Santa Cruz AHORA 24 Monotributista,0.03,2.4448734532310064
Santa Fe 1 CUOTA Monotributista,0.045,1
Santa Fe AHORA 03 Monotributista,0.045,1.1401244924629772
Santa Fe AHORA 06 Monotributista,0.045,1.2888981646353577
Santa Fe AHORA 12 Monotributista,0.045,1.6606056848143067
Santa Fe AHORA 18 Monotributista,0.045,2.0587874358358405
Santa Fe AHORA 24 Monotributista,0.045,2.5046427322411478
Santiago del Estero 1 CUOTA Monotributista,0.03,1
Santiago del Estero AHORA 03 Monotributista,0.03,1.137587367611199
Santiago del Estero AHORA 06 Monotributista,0.03,1.282990114675534
Santiago del Estero AHORA 12 Monotributista,0.03,1.6440533392906411
Santiago del Estero AHORA 18 Monotributista,0.03,2.0251612494447104
Santiago del Estero AHORA 24 Monotributista,0.03,2.4448734532310064
Tierra del Fuego 1 CUOTA Monotributista,0.03,1
Tierra del Fuego AHORA 03 Monotributista,0.03,1.137587367611199
Tierra del Fuego AHORA 06 Monotributista,0.03,1.282990114675534
Tierra del Fuego AHORA 12 Monotributista,0.03,1.6440533392906411
Tierra del Fuego AHORA 18 Monotributista,0.03,2.0251612494447104
Tierra del Fuego AHORA 24 Monotributista,0.03,2.4448734532310064
Tucumán 1 CUOTA Monotributista,0.029,1
Tucumán AHORA 03 Monotributista,0.029,1.137587367611199
Tucumán AHORA 06 Monotributista,0.029,1.282990114675534
Tucumán AHORA 12 Monotributista,0.029,1.6440533392906411
Tucumán AHORA 18 Monotributista,0.029,2.0251612494447104
Tucumán AHORA 24 Monotributista,0.029,2.4448734532310064
